"stop_number","stop_name","lon","lat","distance_from_center"
"1640","Lazdynai",25.21259,54.67761,4.45901099048438
"1641","Žėručio st.",25.2084,54.67661,4.74772267010421
"1642","Šalnos st.",25.20607,54.67307,5.0051037580516
"1643","Architektų st.",25.21339,54.67313,4.55962796853206
"1645","Riešutų st.",25.21556,54.676,4.32402596468855
"1646","Paukščių takas",25.20734,54.6798,4.7364243620942
"1647","Ratilių st.",25.21435,54.66525,4.88305895501599
"1648","Ratilių st.",25.21403,54.66456,4.94005871634986
"1649","Užutekio st.",25.20776,54.65918,5.60290168010592
"1650","Užutekio st.",25.2074,54.65907,5.6289251797294
"1651","Bijūnų st.",25.21606,54.66729,4.67523064677222
"1652","Lazdynėliai",25.19238,54.66266,6.26408305465536
"1653","Oslo st.",25.19877,54.67007,5.55931442154385
"1654","Monikos Mironaitės st.",25.18967,54.68081,5.84153627048678
"1655","Gudeliai",25.19278,54.67585,5.74276657688961
"1656","Gudeliai",25.19308,54.67558,5.73088742338743
"1657","Monikos Mironaitės st.",25.1895,54.68083,5.85208929883765
"1658","Šiltnamių žiedas(išlaipinimas)",25.2216,54.66676,4.39709877933419
"1659","Šiltnamių žiedas",25.22145,54.66708,4.38674567458684
"1660","Bijūnų st.",25.21652,54.66764,4.63060165292167
"1661","Loretos Asanavičiūtės st.",25.19942,54.68318,5.18926002173994
"1662","Loretos Asanavičiūtės st.",25.19908,54.68332,5.20958895861242
"1663","Ungurių st.",25.20851,54.65354,5.94123558664758
"1701","Teodoro Narbuto st.",25.22988,54.69992,3.49141241552742
"1702","Laisvės prospektas",25.22123,54.69752,3.92458927833402
"1703","Laisvės prospektas",25.21992,54.69635,3.97134735819602
"1704","Karoliniškių poliklinika",25.21416,54.69283,4.25967277611608
"1705","Karoliniškių poliklinika",25.21524,54.69344,4.20098342564156
"1706","Karoliniškės",25.21733,54.69279,4.05735127156232
"1707","Karoliniškės",25.21631,54.69244,4.11690897023728
"1708","Televizijos bokštas",25.21486,54.69092,4.19080437604484
"1709","Televizijos bokštas",25.2126,54.68996,4.3275663916568
"1710","Ugniagesių st.",25.21068,54.69021,4.45249624398951
"1711","Ugniagesių st.",25.20904,54.68951,4.55328453811019
"1712","Atminties st.",25.20713,54.68715,4.67104692294646
"1713","Atminties st.",25.2065,54.68674,4.71219163427018
"1714","Vaivorykštės st.",25.20766,54.68519,4.64419668963806
"1715","Vaivorykštės st.",25.20695,54.6843,4.69634344083422
"1716","Pasakų parkas",25.20607,54.68461,4.75024504326323
